Date/Time,DBT,WBT,RSH,RLH,W_c,P_cond,P_e,Q_e,m_r,m_s,Q_cond
 03/13  15:00:00,30.96666667,22.25118041,85.98760641,36.35461896,24.28031033,918.1026808,430.1416778,182.2972235,1.5150498,8.4894,206.5775339
 03/13  16:00:00,30.33333333,22.38950002,87.70092503,36.08940393,24.44417898,903.0524127,429.286618,188.4852132,1.555191764,8.5571,212.9293922
 03/13  17:00:00,29.06666667,22.18947301,87.30363146,36.05157718,22.37321035,873.5058127,428.682513,182.9427035,1.487468006,8.3933,205.3159138
 03/13  18:00:00,27.64166667,21.50366588,87.79198453,35.65339264,18.65108438,841.1361554,429.4072207,164.2352846,1.313236188,8.3711,182.886369
 03/14  09:00:00,27.39166667,24.31089567,82.02550438,37.58079733,28.59895218,835.5510741,418.5301568,244.4481606,1.957097604,7.299,273.0471128
 03/14  10:00:00,28.91666667,25.15705323,85.42895594,38.05756365,34.68206029,870.0553533,417.833238,274.3442742,2.236071822,7.672,309.0263345
 03/14  11:00:00,30.25833333,25.38414692,87.74139059,38.29418009,37.93379116,901.2824345,419.1104053,283.0056924,2.342294077,8.0289,320.9394836
 03/14  12:00:00,31.03333333,24.76221914,89.37090756,37.77950233,36.13652089,919.6977518,422.582219,263.3760951,2.197143056,8.4035,299.512616
 03/14  13:00:00,31.25833333,23.92286124,90.53583459,37.13696745,32.55832706,925.0964099,425.7524697,237.4912285,1.984102962,8.6945,270.0495555
 03/14  15:00:00,30.19166667,22.54690878,88.05575407,36.55606468,24.99161065,899.7112983,428.7224427,193.6090744,1.595131847,8.5491,218.6006851
 03/14  16:00:00,29.14166667,22.23769162,89.31851957,36.07254591,22.86633193,875.2348725,428.7655903,186.3483893,1.516437015,8.5918,209.2147213
 03/14  17:00:00,27.9,22.06038044,88.58098382,36.02235815,20.94908349,846.9366744,428.0690609,181.1157949,1.453227544,8.3929,202.0648784
 03/14  18:00:00,26.40833333,21.52261763,88.03187897,35.69396464,17.72757464,813.8516415,428.1952639,165.687644,1.307088826,8.2365,183.4152186
 03/15  10:00:00,28.5,23.77115161,82.98621576,36.96077106,27.69076688,860.5241852,422.268917,227.2591168,1.840176646,7.6341,254.9498837
 03/15  11:00:00,29.58333333,23.22037811,85.30522972,36.60405698,26.82668892,885.469056,425.7516998,211.6373979,1.733168695,8.0934,238.4640869
 03/15  12:00:00,30.75833333,22.79149102,87.20712698,36.26272356,26.50136316,913.1314067,428.4476765,199.7130344,1.656743141,8.4966,226.2143976
 03/15  13:00:00,32,22.39813602,88.94318206,35.86570856,26.3339315,943.0598073,430.783762,188.9685858,1.589842747,8.8812,215.3025173
 03/15  15:00:00,33.45833333,21.61864618,88.45001292,36.00220382,24.29925096,979.1399308,433.9544279,165.1104222,1.412540342,9.1276,189.4096732
 03/15  16:00:00,33.09166667,21.19213025,90.2926461,35.77421945,22.40471897,969.9729404,434.7479402,155.1405145,1.320800599,9.3267,177.5452335
 03/15  17:00:00,31.86666667,20.76044395,89.73628254,35.63895526,19.55239399,939.8113784,434.8931128,143.1710845,1.200656332,9.1886,162.7234785
 03/15  18:00:00,30.09166667,20.73303189,89.93162331,35.71401992,18.0982347,897.3584328,433.6377145,143.400785,1.177848472,8.9976,161.4990197
 03/16  09:00:00,28.40833333,22.87482056,84.35524695,36.53100503,24.07121886,858.4378449,425.5524098,200.9310015,1.62322494,7.9106,225.0022204
 03/16  10:00:00,30.86666667,22.4240028,88.26380215,35.96734253,25.19386846,915.7139518,429.7015278,189.7440822,1.575319648,8.6723,214.9379507
 03/16  11:00:00,32.80833333,22.04902254,90.9352406,35.60795892,25.91132009,962.9334089,432.436649,180.3016274,1.531040537,9.2276,206.2129475
 03/16  12:00:00,33.6,21.76393792,92.54250878,35.8288099,25.67779852,982.6990062,433.769069,173.2864305,1.485218809,9.5225,198.964229
 03/16  13:00:00,33.65833333,21.84635609,93.3675558,36.09267271,26.22444731,984.1673147,433.6277564,176.4405029,1.513439844,9.5977,202.6649502
 03/16  15:00:00,32.85833333,22.36076433,91.26001216,36.47628183,27.38950581,964.1728957,431.6826086,189.6818032,1.612167926,9.2173,217.071309
 03/16  16:00:00,32.55,22.58375402,93.31766129,36.07768825,28.34265531,956.5483543,430.9467436,198.5115382,1.68130516,9.3461,226.8541935
 03/16  17:00:00,32.125,22.63158991,93.53246373,36.11760583,28.11558421,946.1128234,430.4932748,200.4146607,1.688908115,9.3079,228.5302449
 03/16  18:00:00,31.06666667,22.55715846,94.36812081,36.21558569,26.74820986,920.4960635,429.8799661,199.7111041,1.661937414,9.2721,226.459314
 03/17  09:00:00,30.34166667,25.01168271,92.17866441,38.33038527,36.70031253,903.2492372,421.4050015,274.9986761,2.276223964,8.5449,311.6989886
 03/17  10:00:00,32.64166667,24.61675202,95.21858563,37.63508865,38.43975995,958.8103855,425.4059374,263.1622299,2.236311947,9.2031,301.6019898
 03/17  11:00:00,34.53333333,24.18227018,97.29230436,37.07611117,39.22636448,1006.389317,428.4719528,249.8790766,2.171643293,9.7131,289.1054411
 03/17  12:00:00,35.84166667,23.84474484,98.84751409,36.57949988,39.55213787,1040.313484,430.4574672,239.9328536,2.118809867,10.0789,279.4849914
 03/17  13:00:00,36.41666667,23.91464218,99.96594555,36.65080508,40.95189997,1055.490159,430.7498433,242.7856556,2.159877785,10.2452,283.7375555
 03/17  15:00:00,35.55833333,24.53809722,97.81095824,37.780734,42.77240437,1032.895417,428.348565,260.8211656,2.296831856,9.8269,303.59357
 03/17  16:00:00,34.4,24.48751263,99.3380852,37.4272042,40.953896,1002.979126,427.6762548,261.6997946,2.271263729,9.8446,302.6536906
 03/17  17:00:00,33.025,23.89174941,99.14509276,37.07711379,35.88531403,968.3131313,428.1840474,243.815377,2.079439495,9.7597,279.700691
 03/17  18:00:00,31.7,22.982363,99.78677197,36.4880402,30.02173825,935.7626101,429.5855808,217.4929421,1.824018486,9.8108,247.5146803
 03/20  09:00:00,28.81666667,25.95582207,96.32107497,39.27751569,39.44422655,867.7607133,416.9806086,312.5186797,2.545092183,8.5727,351.9629063
 03/20  10:00:00,30.91666667,26.71232127,98.56565545,39.66763643,47.17676238,916.907735,417.0227922,338.9781173,2.830119676,8.914,386.1548797
